partido,515,Malvinas Argentinas,2,norte,reconquista,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;
partido,408,Hurlingham,2,oeste,reconquista,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;
partido,410,ItuzaingC3,2,oeste,Matanza-riachuelo;reconquista,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,805,Tigre,2,norte,reconquista,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;
partido,749,San Fernando,2,norte,reconquista,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;
partido,412,JosC) C. Paz,2,oeste,reconquista,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;
partido,760,San Miguel,2,norte,reconquista,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;
partido,28,Almirante Brown,2,sur,matanza-riachuelo,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;
provincia,1,Buenos Aires,0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;
pais,1,Argentina,0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;
